STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,381400,1612,+41.807510,-087.621159
17,031,381500,237,+41.810277,-087.621890
17,031,381700,0,+41.805550,-087.627446
17,031,381800,1188,+41.803988,-087.621067
17,031,381900,1295,+41.803787,-087.613927
17,031,390100,1268,+41.812427,-087.595047
17,031,390200,1840,+41.813388,-087.599398
17,031,390300,2743,+41.812113,-087.604015
17,031,390400,2934,+41.805979,-087.604176
17,031,390500,1598,+41.806593,-087.599049
17,031,390600,1866,+41.805565,-087.594332
17,031,390700,5592,+41.804818,-087.586955
17,031,400300,1567,+41.796604,-087.620834
17,031,400400,1955,+41.791137,-087.617947
17,031,400500,2258,+41.790797,-087.622957
17,031,400800,2701,+41.782350,-087.620527
17,031,410100,1802,+41.801258,-087.587172
17,031,410200,1443,+41.801676,-087.593783
17,031,410500,2557,+41.798083,-087.603902
17,031,410600,2327,+41.798409,-087.598929
17,031,410700,2154,+41.798315,-087.594112
17,031,410800,2662,+41.797339,-087.590123
17,031,410900,2838,+41.797205,-087.584224
17,031,411000,3309,+41.793428,-087.583753
17,031,411100,2132,+41.791304,-087.590365
17,031,411200,1640,+41.792546,-087.593682
17,031,420100,1441,+41.783273,-087.588614
17,031,420200,1723,+41.782978,-087.593887
17,031,420300,2488,+41.783636,-087.598687
17,031,420400,1329,+41.783287,-087.603968
17,031,420500,2624,+41.783300,-087.608137
17,031,420600,2219,+41.783020,-087.613170
17,031,420700,3261,+41.776461,-087.610768
17,031,420800,2213,+41.776453,-087.602980
17,031,421200,1380,+41.770924,-087.609154
17,031,430101,3689,+41.770237,-087.573780
17,031,430102,2963,+41.768186,-087.568703
17,031,430200,4680,+41.770372,-087.582047
17,031,430300,2336,+41.770032,-087.589283
17,031,430400,2892,+41.762161,-087.590019
17,031,430500,3604,+41.764370,-087.580428
17,031,430600,1665,+41.764054,-087.571499
17,031,430700,2210,+41.764867,-087.563494
17,031,430800,1763,+41.760684,-087.570945
17,031,430900,1814,+41.760866,-087.580107
17,031,431200,3078,+41.755304,-087.571256
17,031,431301,3545,+41.753676,-087.561540
17,031,431302,4166,+41.758135,-087.563417
17,031,431400,6418,+41.759170,-087.556333
17,031,440101,3746,+41.748611,-087.601516
17,031,440102,3127,+41.742511,-087.602126
17,031,440201,5060,+41.748274,-087.610061
17,031,440202,2999,+41.742098,-087.609850
17,031,440300,4757,+41.744749,-087.619936
17,031,440600,2080,+41.732749,-087.619096
17,031,440700,1545,+41.734698,-087.609723
17,031,440800,1800,+41.731628,-087.603529
17,031,440900,2610,+41.729283,-087.608574
17,031,450300,3615,+41.741342,-087.580520
17,031,460100,3405,+41.748624,-087.549753
17,031,460200,2385,+41.741593,-087.546341
17,031,460301,3404,+41.740068,-087.556279
17,031,460302,3803,+41.747348,-087.557485
17,031,460400,3705,+41.745078,-087.563414
17,031,460500,5789,+41.747034,-087.572320
17,031,460600,1183,+41.736005,-087.559311
17,031,460700,3314,+41.735696,-087.550019
17,031,461000,1496,+41.728849,-087.548598
17,031,470100,2916,+41.727944,-087.597000
17,031,480100,2033,+41.735137,-087.575513
17,031,480200,1229,+41.734794,-087.589368
17,031,480300,1468,+41.730053,-087.588130
17,031,480400,5876,+41.728958,-087.574949
17,031,480500,3206,+41.727999,-087.560704
17,031,490300,2033,+41.725525,-087.618970
17,031,490400,1059,+41.723661,-087.610866
17,031,490500,2242,+41.718037,-087.616172
17,031,490600,1562,+41.718532,-087.629462
17,031,490700,3085,+41.710904,-087.628108
17,031,490800,4007,+41.710379,-087.615842
17,031,490901,3891,+41.696641,-087.616009
