RESIDENCE,WORKPLACE,JOBS
17019000500,17019001302,2
17019000500,17019001400,5
17019000500,17019005300,49
17019000500,17019005401,2
17019000500,17019005500,8
17019000500,17019005900,2
17019000500,17019010603,2
17019000500,17019010604,2
17019000500,17019011000,12
17019000500,17019011100,2
17019000500,17031243300,9
17019000700,17019000301,2
17019000700,17019000402,49
17019000700,17019000500,12
17019000700,17019000700,4
17019000700,17019000800,16
17019000700,17019000901,2
17019000700,17019000902,4
17019000700,17019001000,2
17019000700,17019001203,3
17019000700,17019001204,2
17019000700,17019001301,7
17019000700,17019005300,32
17019000700,17019005401,4
17019000700,17019005500,8
17019000700,17019005900,2
17019000700,17019010100,3
17019000700,17019010400,2
17019000700,17019010604,6
17019000700,17019011000,8
17019000700,17019011100,2
17019000700,17031243300,5
17019000800,17019000301,12
17019000800,17019000402,194
17019000800,17019000500,64
17019000800,17019000700,8
17019000800,17019000800,84
17019000800,17019000901,36
17019000800,17019000902,18
17019000800,17019001000,4
17019000800,17019001201,6
17019000800,17019001204,2
17019000800,17019001206,2
17019000800,17019001301,20
17019000800,17019001302,2
17019000800,17019001400,11
17019000800,17019005300,121
17019000800,17019005401,10
17019000800,17019005402,2
17019000800,17019005500,34
17019000800,17019005702,2
17019000800,17019005800,2
17019000800,17019005900,4
17019000800,17019010400,2
17019000800,17019010604,17
17019000800,17019011000,21
17019000800,17019011100,2
17019000800,17031081300,2
17019000800,17031243300,4
17019000800,17113001800,3
17019000800,17147954500,4
17019000800,17147954600,4
17019000800,17183011200,2
17019000800,17197880404,2
17019000800,17201003709,2
17019000901,17019000301,2
17019000901,17019000402,71
17019000901,17019000500,58
17019000901,17019000700,8
17019000901,17019000800,30
17019000901,17019000901,34
17019000901,17019000902,23
17019000901,17019001000,5
17019000901,17019001100,2
17019000901,17019001201,16
17019000901,17019001203,4
17019000901,17019001204,7
17019000901,17019001301,18
17019000901,17019001302,2
17019000901,17019005300,53
17019000901,17019005401,20
17019000901,17019005402,2
17019000901,17019005500,26
17019000901,17019005600,3
17019000901,17019005702,9
17019000901,17019005800,2
17019000901,17019005900,6
17019000901,17019010100,2
17019000901,17019010400,5
17019000901,17019010604,4
17019000901,17019011000,14
17019000901,17019011100,2
17019000901,17029000400,2
17019000901,17029000800,2
17019000901,17031243300,6
17019000901,17167001300,2
17019000902,17019000301,4
17019000902,17019000402,289
17019000902,17019000500,120
17019000902,17019000700,15
17019000902,17019000800,39
17019000902,17019000901,43
17019000902,17019000902,47
17019000902,17019001000,8
17019000902,17019001201,6
17019000902,17019001203,2
17019000902,17019001206,2
17019000902,17019001301,24
17019000902,17019001302,4
17019000902,17019001400,2
17019000902,17019005300,226
17019000902,17019005401,11
17019000902,17019005402,2
17019000902,17019005500,39
17019000902,17019005702,4
17019000902,17019010204,2
17019000902,17019010400,6
17019000902,17019010601,4
17019000902,17019010604,15
17019000902,17019011000,26
17019000902,17147954500,2
17019001000,17019000302,2
17019001000,17019000401,2
17019001000,17019000402,251
17019001000,17019000500,60
17019001000,17019000700,6
17019001000,17019000800,23
17019001000,17019000901,11
17019001000,17019000902,21
17019001000,17019001000,14
17019001000,17019001100,2
17019001000,17019001201,10
17019001000,17019001203,5
17019001000,17019001204,2
17019001000,17019001301,2
17019001000,17019001302,11
17019001000,17019001400,2
17019001000,17019005300,91
17019001000,17019005401,10
17019001000,17019005500,12
17019001000,17019005800,3
17019001000,17019005900,6
17019001000,17019010100,2
17019001000,17019010400,7
17019001000,17019010601,2
17019001000,17019010603,2
17019001000,17019010604,6
17019001000,17019010900,3
17019001000,17019011000,39
17019001000,17019011100,2
17019001000,17031243300,3
17019001000,17041952400,2
17019001000,17043844402,2
17019001000,17043846509,2
17019001000,17113001106,2
17019001000,17113001302,2
17019001100,17019000402,277
17019001100,17019000500,48
17019001100,17019000700,2
17019001100,17019000800,4
17019001100,17019000902,14
17019001100,17019001201,2
